"MEASURE - Absolute value in thousands"

YEAR,"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"World",2536431.016,2584034.223,2630861.688,2677609.059,2724846.751,2773019.915,2822443.253,2873306.055,2925686.678,2979576.143,3034949.709,3091843.506,3150420.759,3211000.941,3273978.271,3339583.509,3407922.63,3478770.102,3551599.432,3625680.964,3700437.042,3775760.03,3851650.585,3927780.518,4003794.178,4079480.473,4154666.824,4229505.917,4304533.597,4380506.18,4458003.466,4536996.616,4617386.524,4699569.184,4784011.512,4870921.665,4960567.998,5052521.994,5145425.992,5237441.433,5327231.039,5414289.382,5498919.891,5581597.596,5663150.426,5744212.929,5824891.927,5905045.647,5984794.072,6064239.03,6143493.803,6222626.529,6301773.169,6381185.139,6461159.388,6541906.955,6623517.913,6705946.64,6789088.669,6872766.986,6956823.587,7041194.163,7125827.955,7210582.041,7295290.755,7379796.966,7464021.934,7547858.897,7631091.11,7713468.203,7794798.725,7874965.73,7953952.572,8031800.338000001,8108605.253,8184437.453,8259276.649,8333078.315,8405863.296,8477660.720000001,8548487.367000001,8618349.452,8687227.870999999,8755083.512,8821862.703,8887524.228,8952048.882999999,9015437.614,9077693.642999999,9138828.561000001,9198847.381999999,9257745.482999999,9315508.153000001,9372118.245999999,9427555.380999999,9481803.268999999,9534854.671,9586707.748,9637357.32,9686800.143999999,9735033.898
"  Africa",227530.885,232052.829,236811.635,241798.687,247008.413,252438.26,258088.745,263963.393,270068.313,276411.668,283001.459,289843.816,296940.641,304289.391,311884.832,319726.002,327819.524,336177.171,344809.413,353728.526,362948.6,372474.872,382322.091,392523.567,403120.514,414144.41,425608.919,437513.629,449856.293,462628.313,475821.825,489428.577,503446.182,517877.864,532728.8050000001,547995.328,563682.198,579764.907,596175.08,612822.9520000001,629644.322,646621.464,663771.415,681110.11,698667.377,716473.383,734545.892,752904.071,771585.586,790634.7510000001,810097.1850000001,829998.13,850376.983,871310.244,892888.58,915184.584,938225.49,962023.0110000001,986610.9250000001,1012019.701,1038264.807,1065357.438,1093277.898,1121967.255,1151342.999,1181335.433,1211924.34,1243093.176,1274778.957,1306909.091,1339429.99,1372305.269,1405534.441,1439145.914,1473189.87,1507701.612,1542679.811,1578105.246,1613975.124,1650283.553,1687023.403,1724187.606,1761766.496,1799745.624,1838107.544,1876834.389,1915910.378,1955319.25,1995040.704,2035053.034,2075334.263,2115865.564,2156625.835,2197586.595,2238716.814,2279988.557,2321378.984,2362870.001,2404443.241,2446082.498,2487770.713
"    Northern Africa",51269.913,52456.685,53709.851,55031.177,56421.195,57879.123,59402.636,60988.075,62630.683,64324.993,66065.909,67850.188,69677.285,71550.038,73473.173,75449.531,77484.039,79574.13099999999,81706.58,83863.217,86033.493,88213.211,90413.91899999999,92660.101,94985.44,97415.751,99954.34299999999,102598.536,105359.867,108250.368,111275.159,114437.921,117726.803,121110.93,124548.541,128006.064,131471.796,134942.365,138402.655,141837.948,145237.453,148593.535,151904.723,155175.328,158413.936,161628.724,164823.442,168001.357,171170.616,174340.913,177522.242,180723.177,183953.513,187226.331,190556.21,193957.213,197429.039,200980.258,204643.062,208457.518,212448.645,216629.884,210870.335,215111.204,219458.589,223861.602,228307.022,232793.197,237293.802,241780.765,246232.508,250635.265,254985.181,259284.327,263540.68,267761.464,271944.691,276090.084,280209.755,284319.694,288432.646,292552.403,296679.32,300818.256,304973.67,309148.141,313343.448,317558.108,321786.509,326020.679,330253.476,334481.754,338702.952,342911.065,347099.378,351261.887,355394.956,359495.158,363557.062,367575.024,371544.553
"    Sub-Saharan Africa",176260.972,179596.144,183101.784,186767.51,190587.218,194559.137,198686.109,202975.318,207437.63,212086.675,216935.55,221993.628,227263.356,232739.353,238411.659,244276.471,250335.485,256603.04,263102.833,269865.309,276915.107,284261.661,291908.172,299863.466,308135.074,316728.659,325654.576,334915.093,344496.426,354377.945,364546.666,374990.656,385719.379,396766.934,408180.264,419989.264,432210.402,444822.542,457772.425,470985.004,484406.869,498027.929,511866.692,525934.782,540253.441,554844.659,569722.45,584902.714,600414.97,616293.838,632574.943,649274.953,666423.47,684083.9129999999,702332.37,721227.371,740796.451,761042.753,781967.863,803562.183,825816.162,848727.554,882407.563,906856.051,931884.41,957473.831,983617.318,1010299.979,1037485.155,1065128.326,1093197.482,1121670.004,1150549.26,1179861.587,1209649.19,1239940.148,1270735.12,1302015.162,1333765.369,1365963.859,1398590.757,1431635.203,1465087.176,1498927.368,1533133.874,1567686.248,1602566.93,1637761.142,1673254.195,1709032.355,1745080.787,1781383.81,1817922.883,1854675.53,1891617.436,1928726.67,1965984.028,2003374.843,2040886.179,2078507.474,2116226.16
"      Eastern Africa",63399.007,64826.21,66298.443,67821.895,69402.273,71045.001,72755.034,74537.064,76395.334,78333.705,80355.731,82464.586,84662.984,86953.394,89337.929,91818.27800000001,94398.08,97078.885,99857.397,102728.363,105689.252,108739.344,111883.793,115132.584,118498.978,121993.16,125622.399,129386.756,133280.413,137293.641,141421.365,145651.221,149989.587,154471.378,159144.134,164035.933,169174.435,174534.511,180028.174,185534.029,190970.389,196300.526,201565.605,206857.732,212309.956,218019.431,224021.402,230290.806,236791.904,243464.406,250266.909,257197.109,264280.698,271537.421,278995.92,286679.781,294593.368,302739.252,311136.859,319808.644,328770.255,338024.817,357680.802,367747.353,378046.051,388567.925,399310.575,410267.631,421421.336,432749.858,444237.457,455872.062,467654.92,479600.124,491729.998,504058.586,516586.496,529301.547,542189.4300000001,555230.265,568407.2780000001,581713.143,595143.4790000001,608688.017,622336.0060000001,636078.0010000001,649905.273,663811.78,677794.043,691850.227,705977.402,720169.807,734420.13,748721.754,763067.807,777451.594,791866.62,806306.97,820765.87,835236.823,849712.988
"      Middle Africa",26453.755,26924.021,27431.099,27966.479,28523.67,29098.323,29688.194,30293.215,30915.073,31556.948,32222.194,32912.881,33628.767,34366.744,35122.148,35893.208,36678.011,37482.028,38320.023,39211.527,40170.679,41203.361,42306.187,43471.984,44689.042,45948.711,47251.849,48601.412,49993.126,51421.878,52885.376,54384.101,55923.494,57512.878,59164.702,60890.048,62683.384,64547.113,66509.05100000001,68604.83100000001,70855.116,73283.535,75871.11500000001,78544.395,81201.89900000001,83775.179,86236.38400000001,88620.038,90996.94100000001,93469.85400000001,96115.548,98955.622,101974.572,105166.963,108515.914,112008.24,115648.282,119442.036,123378.448,127442.324,131622.131,135912.681,140314.559,144828.583,149457.57,154203.227,159064.782,164038.995,169121.878,174308.427,179595.124,184979.932,190463.603,196049.207,201741.367,207543.428,213455.099,219474.734,225602.956,231840.236,238186.207,244640.09,251199.34,257859.677,264615.663,271462.275,278396.119,285414.474,292514.227,299692.22,306945.117,314269.726,321661.918,329116.238,336626.567,344187.502,351795.115,359446.517,367139.237,374871.256,382640.444
"      Southern Africa",15533.036,15866.065,16209.737,16564.214,16929.926,17307.49,17697.835,18102.017,18521.301,18957.064,19410.549,19882.733,20373.916,20883.822,21411.847,21957.654,22520.7,23101.683,23702.712,24326.61,24975.152,25650.566,26351.708,27072.706,27805.522,28545.009,29287.108,30035.182,30800.486,31598.762,32440.464,33330.627,34263.584,35226.349,36200.234,37171.819,38132.113,39084.456,40042.29,41025.613,42046.342,43109.473,44202.382,45297.905,46358.893,47358.234,48288.909,49157.379,49967.167,50726.509,51443.866,52118.959,52755.955,53373.854,53997.12,54644.678,55322.721,56031.317,56775.568,57559.144,58383.366,59251.685,60161.26,61098.553,62044.699,62985.035,63914.653,64833.79,65739.488,66629.894,67503.647,68358.016,69191.678,70006.859,70807.291,71595.92,72372.868,73137.45200000001,73890.39200000001,74632.496,75364.315,76086.238,76798.15700000001,77499.387,78188.788,78865.52400000001,79529.235,80179.978,80817.746,81442.70299999999,82054.895,82654.05,83239.75,83811.438,84368.501,84910.404,85436.796,85947.439,86441.689,86918.92,87378.53999999999
"      Western Africa",70875.174,71979.848,73162.50500000001,74414.92200000001,75731.349,77108.323,78545.046,80043.022,81605.92200000001,83238.958,84947.076,86733.428,88597.689,90535.393,92539.735,94607.33100000001,96738.694,98940.444,101222.701,103598.809,106080.024,108668.39,111366.484,114186.192,117141.532,120241.779,123493.22,126891.743,130422.401,134063.664,137799.461,141624.707,145542.714,149556.329,153671.194,157891.464,162220.47,166656.462,171192.91,175820.531,180535.022,185334.395,190227.59,195234.75,200382.693,205691.815,211175.755,216834.491,222658.958,228633.069,234748.62,241003.263,247412.245,254005.675,260823.416,267894.672,275232.08,282830.148,290676.988,298752.071,307040.41,315538.371,324250.942,333181.562,342336.09,351717.644,361327.308,371159.563,381202.453,391440.147,401861.254,412459.994,423239.059,434205.397,445370.534,456742.214,468320.657,480101.429,492082.591,504260.862,516632.957,529195.732,541946.2,554880.287,567993.417,581280.448,594736.303,608354.91,622128.179,636047.205,650103.373,664290.227,678601.085,693026.1,707554.561,722177.17,736885.497,751673.917,766539.383,781480.475,796494.188
